r,r1,r2,r3,r4,r5,r6,r7,r8,n1,n2,n3,n4,n5,n6,n7,n8
83.112625250501,6.111222444889779,7.333466933867735,8.555711422845691,9.777955911823646,11.000200400801603,12.222444889779558,13.444689378757515,14.66693386773547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.88937875751502,6.168336673346692,7.402004008016031,8.63567134268537,9.869338677354708,11.103006012024048,12.336673346693384,13.570340681362723,14.804008016032062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.66613226452905,6.225450901803606,7.4705410821643286,8.715631262525049,9.960721442885772,11.205811623246491,12.450901803607213,13.695991983967936,14.941082164328657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.44288577154308,6.28256513026052,7.539078156312624,8.795591182364728,10.052104208416834,11.308617234468935,12.56513026052104,13.821643286573144,15.078156312625248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.21963927855711,6.339679358717434,7.6076152304609215,8.875551102204408,10.143486973947896,11.411422845691382,12.679358717434868,13.947294589178357,15.215230460921843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.99639278557113,6.396793587174348,7.676152304609218,8.955511022044087,10.234869739478958,11.514228456913825,12.793587174348696,14.072945891783565,15.352304609218436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.77314629258517,6.453907815631262,7.744689378757514,9.035470941883768,10.32625250501002,11.617034068136272,12.907815631262524,14.198597194388778,15.489378757515029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.54989979959919,6.511022044088175,7.813226452905811,9.115430861723446,10.417635270541082,11.719839679358715,13.02204408817635,14.324248496993986,15.626452905811622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.32665330661322,6.56813627254509,7.881763527054108,9.195390781563125,10.509018036072144,11.822645290581162,13.13627254509018,14.449899799599198,15.763527054108216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.10340681362725,6.625250501002003,7.950300601202404,9.275350701402804,10.600400801603206,11.925450901803606,13.250501002004006,14.575551102204408,15.900601202404808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.88016032064128,6.682364729458917,8.018837675350701,9.355310621242484,10.69178356713427,12.028256513026053,13.364729458917834,14.701202404809619,16.037675350701402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.6569138276553,6.739478957915831,8.087374749498997,9.435270541082163,10.783166332665328,12.131062124248496,13.478957915831662,14.826853707414829,16.174749498997993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.43366733466934,6.796593186372745,8.155911823647294,9.515230460921844,10.874549098196393,12.233867735470941,13.59318637274549,14.95250501002004,16.311823647294588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.21042084168336,6.853707414829659,8.22444889779559,9.595190380761522,10.965931863727455,12.336673346693384,13.707414829659317,15.07815631262525,16.44889779559118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.9871743486974,6.910821643286573,8.292985971943887,9.675150300601203,11.057314629258517,12.439478957915831,13.821643286573146,15.203807615230462,16.585971943887774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.76392785571142,6.967935871743486,8.361523046092184,9.755110220440882,11.148697394789579,12.542284569138275,13.935871743486972,15.32945891783567,16.72304609218437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.54068136272545,7.0250501002004,8.43006012024048,9.83507014028056,11.240080160320643,12.645090180360722,14.0501002004008,15.455110220440883,16.86012024048096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.31743486973947,7.082164328657314,8.498597194388777,9.91503006012024,11.331462925851701,12.747895791583165,14.164328657314629,15.58076152304609,16.997194388777555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.09418837675351,7.1392785571142285,8.567134268537075,9.99498997995992,11.422845691382767,12.850701402805612,14.278557114228457,15.706412825651304,17.13426853707415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.87094188376753,7.196392785571142,8.63567134268537,10.074949899799599,11.514228456913829,12.953507014028055,14.392785571142284,15.832064128256512,17.27134268537074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.64769539078156,7.254916979481876,8.704074134409494,10.154753156811074,11.605432179212658,13.056111201614241,14.506790224015822,15.957469246417403,17.408148268818987,0.00020981450072191438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.42444889779559,7.316457932667545,8.77218961572648,10.234221218347558,11.69625282096864,13.158284423589718,14.620316026210798,16.08234762883188,17.54437923145296,0.0008618034727636953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
